name,symbol,price_usd,market_cap_usd,volume_24h,circulating_supply
Bitcoin,btc,102712.0,2041282468150,31973169086.0,19882171.0
Ethereum,eth,2275.71,274301830620,23310129559.0,120720072.2543773
Tether,usdt,1.0,155831125438,53866392374.0,155798023657.8366
XRP,xrp,2.01,118267829755,3064926634.0,58938652386.0
BNB,bnb,627.93,91559475670,636387310.0,145887575.79
Solana,sol,133.0,70560002038,4877182816.0,531086244.5149649
USDC,usdc,0.999802,61245233925,6944483496.0,61257341002.12771
TRON,trx,0.271934,25770468553,829749352.0,94818220191.55722
Dogecoin,doge,0.154626,23121758804,1303900516.0,149751366383.7052
Lido Staked Ether,steth,2275.1,20782430771,24608911.0,9150047.920811228
Cardano,ada,0.543794,19620252986,813183478.0,36110476425.40252
Wrapped Bitcoin,wbtc,102681.0,13232116542,278730496.0,128850.89873878
Hyperliquid,hype,33.31,11112522311,393035659.0,333928180.0
Wrapped stETH,wsteth,2742.66,9723020900,15275382.0,3545102.062082961
Bitcoin Cash,bch,463.24,9198931045,346560991.0,19887153.02165078
Sui,sui,2.52,8532422955,1122866841.0,3396671135.364443
LEO Token,leo,8.98,8285309969,2288067.0,923200922.9
Chainlink,link,11.87,8021604916,438053688.0,678099970.4527868
Stellar,xlm,0.232458,7234503707,188715616.0,31212062200.42323
USDS,usds,0.999745,7118661986,4536558.0,7120471844.628946
WhiteBIT Coin,wbt,48.6,7002749249,51319226.0,144118517.10815412
Avalanche,avax,16.6,6996524219,425449407.0,421993727.1897108
Toncoin,ton,2.81,6929204565,178749988.0,2467295165.965868
Shiba Inu,shib,1.073e-05,6312874155,169579450.0,589248163015091.2
Binance Bridged USDT (BNB Smart Chain),bsc-usd,1.001,6287311307,5824013478.0,6284993699.505674
Litecoin,ltc,80.96,6139539024,326040325.0,75989545.73347135
WETH,weth,2275.39,6008369714,598164340.0,2641525.787883361
Wrapped eETH,weeth,2433.97,5921593518,4611165.0,2434272.982612975
Monero,xmr,310.48,5725376083,57185103.0,18446744.07370955
Hedera,hbar,0.133453,5624914686,163426601.0,42239959710.76999
Ethena USDe,usde,1.001,5601253420,93936468.0,5597039706.034209
Polkadot,dot,3.27,4966605987,214465216.0,1522267060.0
Bitget Token,bgb,4.13,4833614809,57943840.0,1169993089.2
